Start Date,Start Time,End Time,Location,Area,Category,Activity,Notes
9/4/2026,3:30 PM,5:00 PM,41 Rue de Verneuil,7th Arrondissement,Rest & Prep,Return to apartment to unpack rest shower and begin getting ready for Wedding Opening Night,Protected rest and preparation window; prioritize getting fully dressed before leaving for Arc de Triomphe
9/4/2026,5:00 PM,5:30 PM,41 Rue de Verneuil to Arc de Triomphe,7th to 8th Arrondissements,Travel,Taxi to Arc de Triomphe,Leave promptly; use taxi to minimize transfer uncertainty
9/4/2026,5:30 PM,6:00 PM,Arc de Triomphe,8th Arrondissement,Excursion,Arc de Triomphe visit & photos,Keep this to a short exterior/photo stop; skip the rooftop unless there is ample time and the wedding schedule allows
9/4/2026,6:00 PM,6:30 PM,Arc de Triomphe to Le Studio des Acacias,8th to 17th Arrondissements,Travel,Taxi/Ride-share to wedding venue,Leave immediately after photos and allow traffic buffer
9/4/2026,6:30 PM,7:00 PM,Le Studio des Acacias,17th Arrondissement,Event,Wedding venue arrival buffer,Arrive early enough to locate entrance, check in and settle before the 7:00 PM event
9/4/2026,7:00 PM,11:00 PM,Le Studio des Acacias,17th Arrondissement,Event,Helen & Tristan's Wedding Opening Night,
9/5/2026,8:40 AM,9:00 AM,41 Rue de Verneuil to Des Gateaux et du Pain,7th Arrondissement,Travel,Walk to the bakery,Allow about 20 minutes
9/5/2026,9:00 AM,10:00 AM,Des Gateaux et du Pain,7th Arrondissement,Food Pickup,Pick up baguette butter cheese berries and pastries,Skip Maison Louvard if it runs long
9/5/2026,10:00 AM,10:15 AM,Des Gateaux et du Pain to Jardin du Luxembourg,7th to 6th Arrondissements,Travel,Walk/Metro/Taxi to Luxembourg Gardens,Keep the transfer efficient so the picnic remains relaxed
9/5/2026,10:15 AM,11:30 AM,Jardin du Luxembourg,6th Arrondissement,Excursion,Morning Picnic with coffee from Coutume / Treize au Jardin,Low-key picnic and coffee; leave promptly for lunch
9/5/2026,11:30 AM,11:40 AM,Jardin du Luxembourg to Le Bonaparte,6th Arrondissement,Travel,Walk to lunch,Very short local transfer
9/5/2026,11:40 AM,1:00 PM,Le Bonaparte,6th Arrondissement,Dining,Sit-down Lunch in Saint-Germain,Earlier lunch gives more recovery time before the ceremony
9/5/2026,1:00 PM,1:15 PM,Le Bonaparte to 41 Rue de Verneuil,6th to 7th Arrondissements,Travel,Walk/Taxi to Airbnb,Return promptly for the protected preparation window
9/5/2026,1:15 PM,3:45 PM,41 Rue de Verneuil,7th Arrondissement,Rest & Prep,Return to apartment to unwind do hair/makeup and suit up for Wedding Ceremony,Protected prep window
9/5/2026,3:45 PM,4:30 PM,41 Rue de Verneuil to Le Trianon,7th to 18th Arrondissements,Travel,Taxi/Ride-share to wedding ceremony,Leave early for traffic and arrival buffer
9/5/2026,5:00 PM,6:30 PM,Le Trianon,18th Arrondissement,Event,Helen & Tristan's Wedding Ceremony,Bd de Rochechouart
9/5/2026,6:30 PM,11:00 PM,L'Elysee Montmartre,18th Arrondissement,Event,Wedding Dinner & Reception,Bd de Rochechouart
9/6/2026,10:15 AM,10:30 AM,41 Rue de Verneuil to Musée d'Orsay,7th Arrondissement,Travel,Walk along the Seine,Easy walk; same arrondissement
9/6/2026,10:30 AM,12:00 PM,Musée d'Orsay,7th Arrondissement,Excursion,Impressionist Museum Visit,Later start to allow recovery after the late wedding reception; shorten or skip if feeling tired
9/6/2026,12:00 PM,12:15 PM,Musée d'Orsay to Le Relais de l'Entrecote,7th to 6th Arrondissements,Travel,Walk/Metro/Taxi to lunch,Short transfer toward Saint-Germain
9/6/2026,12:15 PM,1:30 PM,Le Relais de l'Entrecote,6th Arrondissement,Dining,Lunch,Arrive around opening/lunch period; alternatives: Josephine Chez Dumonet / Le Petit Lutetia / Cafe Varenne
9/6/2026,1:30 PM,2:00 PM,Le Relais de l'Entrecote to Le Bon Marche,6th to 7th Arrondissements,Travel,Walk/Metro to Le Bon Marché,Easy transfer after lunch
9/6/2026,2:00 PM,4:00 PM,Le Bon Marche,7th Arrondissement,Shopping,Shopping at Fleuron / A.P.C. / Polene / Jerome Dreyfuss,Keep this flexible and prioritize favorite shops
9/6/2026,4:00 PM,5:30 PM,La Grande Epicerie,7th Arrondissement,Shopping,Gourmet souvenirs,Mariage Freres / Bordier butter / Alain Ducasse / Bonne Maman
9/6/2026,5:30 PM,6:30 PM,Cafe de La Grande Epicerie,7th Arrondissement,Coffee,Afternoon Coffee & Tea,Keep it local rather than crossing to the 1st arrondissement
9/6/2026,6:30 PM,8:00 PM,7th to Gare de Lyon,7th to 12th Arrondissements,Travel,Taxi/Metro to Gare de Lyon,Protected buffer before the 8:30 PM reservation
9/6/2026,8:30 PM,11:00 PM,Le Train Bleu,12th Arrondissement,Dining,Dinner Reservation @ Gare de Lyon,Locked Reservation (8:30 PM)
9/7/2026,9:40 AM,10:00 AM,41 Rue de Verneuil to Cafe Nuances,7th to 1st Arrondissements,Travel,Walk toward Pont Neuf,Allow about 20 minutes
9/7/2026,10:00 AM,11:00 AM,Café Nuances,1st Arrondissement,Coffee,Morning Coffee,Single coffee stop chosen to keep the morning on the Seine/central Paris side
9/7/2026,11:00 AM,1:00 PM,Pont Neuf & Ile Saint-Louis,1st & 4th Arrondissements,Excursion,Stroll Pont Neuf & Ile Saint-Louis,Keep the route leisurely; no need to rush the islands
9/7/2026,1:00 PM,2:00 PM,Ile Saint-Louis,4th Arrondissement,Excursion,Ice cream / Ile Saint-Louis stroll,Berthillon closed Monday; substitute another ice cream stop or simply extend the island stroll
9/7/2026,2:00 PM,4:30 PM,Rue du Bac & Seine,7th Arrondissement,Excursion,Gallery browsing & Seine stroll,Keep the route leisurely; begin heading west toward Trocadéro by 4:30 PM
9/7/2026,4:30 PM,5:00 PM,Rue du Bac to Trocadéro,7th to 16th Arrondissements,Travel,Taxi/Metro to Trocadéro,Head toward Trocadéro with enough time for a relaxed viewpoint visit before the cruise
9/7/2026,5:00 PM,5:45 PM,Trocadéro,16th Arrondissement,Excursion,Eiffel Tower viewpoint & photos,Best positioned here before the evening cruise; walk down toward the Eiffel Tower afterward
9/7/2026,5:45 PM,6:15 PM,Trocadéro to Eiffel Tower / Seine,16th to 7th Arrondissements,Travel,Walk down toward Eiffel Tower,Use the stairs/gardens route toward the Seine; allow time for photos along the way
9/7/2026,6:15 PM,6:30 PM,Eiffel Tower / Seine,7th Arrondissement,Excursion,Walk around Eiffel Tower & Seine,Short pre-dinner stop; head toward dinner from here
9/7/2026,6:30 PM,7:45 PM,Dinner - Location TBD,7th Arrondissement,Dining,Dinner,Location TBD; allow travel time to get there once it's booked
9/7/2026,7:45 PM,8:15 PM,Dinner to Vedettes de Paris,7th Arrondissement,Travel,Walk/Taxi to cruise boarding point,Arrive before boarding; keep this buffer rather than cutting it close
9/7/2026,8:15 PM,9:15 PM,Vedettes de Paris,7th Arrondissement,Excursion,Evening Seine Cruise,Champagne cruise booked; 8:15 PM departure
9/8/2026,8:45 AM,9:30 AM,41 Rue de Verneuil to Montmartre,7th to 18th Arrondissements,Travel,Metro (with transfer) or taxi,Real crossing; allow 40-45 minutes
9/8/2026,9:30 AM,12:00 PM,Montmartre & Sacre-Coeur,18th Arrondissement,Excursion,Explore Montmartre,Sacre-Coeur / Rue de l'Abreuvoir / Place Dalida
9/8/2026,12:00 PM,12:45 PM,KB Coffee Roasters / Le Consulat,9th & 18th Arrondissements,Coffee,Coffee break in Montmartre,Keep lunch/coffee light so there is room for the market later
9/8/2026,12:45 PM,1:30 PM,Montmartre to Marche des Enfants Rouges,18th to 3rd Arrondissements,Travel,Metro/Taxi toward Le Marais,Head south toward the Marais; protect the market visit
9/8/2026,1:30 PM,2:15 PM,Marche des Enfants Rouges,3rd Arrondissement,Excursion,Explore market,Flexible market stop; grab a small bite or browse stalls if desired
9/8/2026,2:15 PM,2:35 PM,Marche des Enfants Rouges to Shakespeare and Company,3rd to 5th Arrondissements,Travel,Taxi/Metro toward Île de la Cité,Allow for cross-river transfer
9/8/2026,2:35 PM,3:15 PM,Shakespeare and Company,5th Arrondissement,Excursion,Visit Shakespeare and Company,Browse the historic English-language bookshop; keep to about 30-40 minutes
9/8/2026,3:15 PM,3:25 PM,Shakespeare and Company to Sainte-Chapelle,5th to 1st Arrondissements,Travel,Walk to Sainte-Chapelle,Short walk across Île de la Cité
9/8/2026,3:25 PM,4:15 PM,Sainte-Chapelle,1st Arrondissement,Excursion,Visit Sainte-Chapelle,Timed entry recommended; allow 45-50 minutes for the stained glass and chapel
9/8/2026,4:15 PM,4:30 PM,Sainte-Chapelle to Notre-Dame,1st to 4th Arrondissements,Travel,Walk to Notre-Dame,Short walk across Île de la Cité
9/8/2026,4:30 PM,5:00 PM,Notre-Dame de Paris,4th Arrondissement,Excursion,Visit Notre-Dame,Allow time for exterior views and interior visit; check current entry arrangements in advance
9/8/2026,5:00 PM,5:15 PM,Notre-Dame to Berthillon,4th Arrondissement,Travel,Walk to Île Saint-Louis,Short walk across Pont Saint-Louis
9/8/2026,5:15 PM,5:45 PM,Berthillon,4th Arrondissement,Dessert,Ice cream on Île Saint-Louis,29-31 Rue Saint-Louis en l'Ile; closed Mondays so today instead of the 7th
9/8/2026,5:45 PM,6:30 PM,Île de la Cité & Seine,4th Arrondissement,Excursion,Explore Île de la Cité and Seine,Flexible late-afternoon block; use for photos, river views, souvenir pickup or recovery time
9/8/2026,6:30 PM,7:00 PM,Flexible,Flexible,Travel,Head toward final dinner,Choose dinner based on where the afternoon ends
9/8/2026,7:00 PM,9:00 PM,Flexible,Flexible,Dining,Final Paris Dinner,Flexible reservation; choose based on where the afternoon ends
9/9/2026,10:00 AM,11:00 AM,41 Rue de Verneuil,7th Arrondissement,Check-out,Check-out AirBNB & pack luggage,Allow sufficient time for luggage and final check-out
9/9/2026,11:00 AM,11:15 AM,41 Rue de Verneuil,7th Arrondissement,Travel,Prepare to leave for Gare de Lyon,Have luggage ready and depart promptly
9/9/2026,11:15 AM,11:50 AM,41 Rue de Verneuil to Gare de Lyon,7th to 12th Arrondissements,Travel,Taxi/Metro to Gare de Lyon,Arrive roughly 45-50 minutes before the 12:38 PM TGV
9/9/2026,11:50 AM,12:38 PM,Gare de Lyon,12th Arrondissement,Travel,Station buffer and boarding,Find platform and board without rushing
9/9/2026,12:38 PM,3:15 PM,Gare de Lyon to Avignon TGV,12th Arrondissement,Travel,TGV Train to Provence,ETD: 12:38 PM
